Address,Award,Gas%,Gas Used,Start Block,End Block
0xf6c75ea68bec6205def2c5a4043ab9f4f85bb9ea,113696554423949063867,0.388,10219176500000000000,0,13419836
0x1417c372e97d9a98e9f46f5e2aae3732f546410c,63889094834397439273,0.218,5742425000000000000,0,13419836
0xbe53970753c7ec7a2fddbc00d65f3f555a249fd9,48611374471379543303,0.166,4369246000000000000,0,13419836
0xd33966215c372935858db3c4749dfb62718d0554,44819978625166177457,0.153,4028471000000000000,0,13419836
0xb9a6a1ba1c63d5641cb9a946ca53fe1ec50ecca0,21982997645107776100,0.075,1975857000000000000,0,13419836
