Address,Award,Gas%,Gas Used,Start Block,End Block
0xf6c75ea68bec6205def2c5a4043ab9f4f85bb9ea,13279105279674206116,0.365,661297685905528902,0,9108502
0x1417c372e97d9a98e9f46f5e2aae3732f546410c,9061367768848567222,0.249,451254915935535012,0,9108502
0xbe53970753c7ec7a2fddbc00d65f3f555a249fd9,8493913791368120410,0.233,422995782939572031,0,9108502
0xd33966215c372935858db3c4749dfb62718d0554,5209363518852722315,0.143,259425613962939198,0,9108502
0xb9a6a1ba1c63d5641cb9a946ca53fe1ec50ecca0,356249641256383937,0.010,17741184997465545,0,9108502
